pageviews	time_on_page	stories	comments	ratings	newsletters	nationality	manipulation_level	visitor_session_id
6	282.0	0	0	1	NA	México	all	2532
3	295.0	0	0	0	NA	México	all	2533
1	15	0	0	0	NA	España	all	2535
1	15	0	0	0	NA	Estados Unidos	local	2536
1	15	0	0	0	NA	Estados Unidos	all	2538
1	15	0	0	0	NA	Estados Unidos	local	2539
1	15	0	0	0	NA	Colombia	all	2540
7	175.0	0	0	0	NA	Perú	all	2541
3	22.0	0	0	0	NA	Alemania	local	2542
2	255.0	0	0	0	NA	Uruguay	local	2544
2	149.0	0	0	0	NA	Colombia	all	2545
1	15	0	0	0	NA	Bolivia	all	2546
1	15	0	0	0	NA	Chile	local	2547
6	150.0	0	0	1	NA	Costa Rica	local	2548
2	8.0	0	0	1	NA	Bolivia	local	2549
1	15	0	0	0	NA	España	local	2550
5	338.0	0	0	0	NA	Perú	local	2551
1	15	0	0	0	NA	Colombia	all	2552
1	15	0	0	0	NA	Uruguay	all	2553
1	15	0	0	0	NA	Uruguay	local	2554
2	465.0	0	0	0	NA	Uruguay	local	2555
1	15	0	0	0	NA	Uruguay	all	2557
1	15	0	0	0	NA	Uruguay	local	2556
1	15	0	0	0	NA	Chile	local	2558
2	66.0	0	0	0	NA	Perú	all	2559
2	520.0	0	0	0	NA	Bolivia	all	2561
1	15	0	0	0	NA	México	local	2562
1	15	0	0	0	NA	México	local	2563
3	11.0	0	0	0	NA	Perú	all	2564
3	113.0	0	0	2	NA	Perú	local	2565
5	361.0	0	0	0	NA	Bolivia	local	2566
8	221.0	0	0	0	NA	España	local	2567
1	15	0	0	0	NA	España	local	2568
1	15	0	0	0	NA	Estados Unidos	local	2572
16	482.0	0	0	0	NA	España	all	2573
1	15	0	0	0	NA	Colombia	all	2574
1	15	0	0	0	NA	México	local	2575
1	15	0	0	0	NA	Bolivia	local	2576
1	15	0	0	0	NA	Estados Unidos	local	2577
1	15	0	0	0	NA	Estados Unidos	all	2578
3	161.0	0	0	0	NA	España	all	2579
1	15	0	0	0	NA	Colombia	local	2580
1	15	0	0	0	NA	Perú	all	2581
8	411.0	0	0	0	NA	Paraguay	local	2582
6	356.0	0	0	0	NA	El Salvador	all	2583
6	259.0	0	0	1	NA	México	all	2584
1	15	0	0	0	NA	Chile	all	2585
7	254.0	0	0	0	NA	España	local	2587
1	15	0	0	0	NA	México	local	2588
5	96.0	0	0	0	NA	Colombia	local	2589
17	2226.0	0	1	1	NA	México	local	2590
20	845.0	0	1	2	NA	Perú	all	2591
6	194.0	0	1	0	NA	Chile	all	2593
11	1065.0	1	0	0	NA	Estados Unidos	all	2595
1	15	0	0	0	NA	Colombia	all	2596
1	15	0	0	0	NA	Venezuela	all	2597
3	145.0	0	0	0	NA	Guatemala	local	2598
10	543.0	0	0	1	NA	Guatemala	local	2599
3	35.0	0	0	2	NA	México	all	2600
10	343.0	1	0	1	NA	Colombia	local	2601
4	224.0	0	1	1	NA	Guatemala	local	2602
1	15	0	0	0	NA	Argentina	all	2603
9	269.0	0	0	0	NA	Colombia	local	2604
1	15	0	0	0	NA	México	local	2605
1	15	0	0	0	NA	Estados Unidos	local	2607
4	97.0	0	0	0	NA	Colombia	local	2608
1	15	0	0	0	NA	Chile	all	2609
4	459.0	0	0	0	NA	El Salvador	all	2610
3	112.0	0	0	0	NA	Perú	all	2611
1	15	0	0	0	NA	Nicaragua	local	2613
1	15	0	0	0	NA	Guatemala	local	2614
24	1322.0	0	0	0	NA	México	all	2615
1	15	0	0	0	NA	Ecuador	all	2616
8	637.0	0	2	0	NA	España	all	2617
1	15	0	0	0	NA	México	all	2618
50	2557.0	0	3	0	NA	Colombia	local	2619
1	15	0	0	0	NA	Argentina	all	2620
3	46.0	0	0	0	NA	España	local	2621
1	15	0	0	0	NA	España	all	2622
8	669.0	0	0	1	NA	Argentina	local	2623
1	15	0	0	0	NA	Estados Unidos	local	2624
2	132.0	0	0	0	NA	Colombia	all	2625
1	15	0	0	0	NA	Perú	all	2626
1	15	0	0	0	NA	Colombia	all	2627
13	1809.0	0	2	1	NA	Bolivia	local	2629
1	15	0	0	0	NA	Ecuador	local	2630
1	15	0	0	0	NA	Chile	local	2632
